시간	무게	무게 변화	포트	로그	상태
15_18_28_926	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	523	t
15_18_29_007	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	t
15_18_29_015	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	403	t
15_18_29_021	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	529	t
15_18_29_060	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	523	t
15_18_29_115	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	529	t
15_18_29_122	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	403	t
15_18_29_130	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	t
15_18_29_167	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	523	t
15_18_29_221	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	529	t
15_18_29_226	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	t
15_18_29_253	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	403	t
15_18_29_270	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	523	t
15_18_29_329	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	529	t
15_18_29_336	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	403	t
15_18_29_342	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	t
15_18_29_368	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	523	t
15_18_29_442	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	t
15_18_29_450	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	529	t
15_18_29_459	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	403	t
15_18_29_490	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	523	t
15_18_29_554	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	403	t
15_18_29_560	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	529	t
15_18_29_567	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	t
15_18_29_607	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	523	t
15_18_29_660	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	403	t
